uc_seq,name,gugun,lat,lng,site,title,subtitle,address1,address2,homepage_u,usage_day,rprsntv_me,main_img_n,main_img_t,itemcntnts,WKT
"70","만드리곤드레밥","강서구","35.177387","128.95245","만드리곤드레밥","만드리곤드레밥","-","강서구 공항앞길 85번길 13","-","-","11:00-21:00","돌솥곤드레정식, 단호박오리훈제","https://www.visitbusan.net/uploadImgs/files/cntnts/20191209162810545_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20191209162810545_thumbL","곤드레밥에는 일반적으로 건조 곤드레나물이 사용되는데,이곳은 생 곤드레나물을 사용하여 돌솥밥을 만든다.된장찌개와 함께 열 가지가 넘는 반찬이 제공되는 돌솥곤드레정식이 인기있다","POINT (128.95245 35.177387)"
"72","만호갈미샤브샤브","강서구","35.101425","128.92914","만호갈미샤브샤브","만호갈미샤브샤브","-","강서구 르노삼성대로 602","-","-","11:00-21:00","갈미샤브샤브, 갈미조개삼겹살","https://www.visitbusan.net/uploadImgs/files/cntnts/20230525144042660_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20230525144042660_thumbL","샤브샤브, 수육, 구이 등 다양한 방식으로 갈미조개를 요리하는 갈미조개 전문 식당. 국물이 맛있기로 유명한 이곳은 갈미샤브샤브와 갈미수육이 대표메뉴이다.","POINT (128.92914 35.101425)"
"77","민물가든","강서구","35.16055","128.89468","-","민물가든","민물가든","강서구 둔치중앙길5(봉림동)","-","https://blog.naver.com/rladba1","11:00a.m. ~ 21:00p.m.(break time 15:00~17:00)","묵은지붕어조림, 붕어찜","https://www.visitbusan.net/uploadImgs/files/cntnts/20191217101816206_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20191217101816206_thumbL","30년간 운영해온 생선찜전문점으로, 전통방식인 나무통을 사용하여 조리하는 것이 특징이다. 20가지 이상의 재료로 만든 양념을 사용하는 이 곳은 묵은지 붕어조림과 붕어찜이 대표메뉴이다.","POINT (128.89468 35.16055)"
"83","부흥식당","영도구","35.085815","129.04071","부흥식당","부흥식당","-","영도구 절영로 104","-","-","11:00-21:00","자리돔회, 자리돔물회","https://www.visitbusan.net/uploadImgs/files/cntnts/20191217113924538_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20191217113924538_thumbL","영도의 유명한 제주 자리돔전문점으로 싱싱한 자리돔과 직접 만든 양념장의 맛이 무척 잘 어울린다.당일 판매 할 수 있는 한정된 양만 판매하고 있는 이곳은 제주갈치 요리로도 유명하다.","POINT (129.04071 35.085815)"
"87","사미헌","부산진구","35.159008","129.05666","사미헌","사미헌",,"부산진구 서면문화로 19","-","http://samihunmall.com/","1:00-21:30","갈비탕, 명장세트","https://www.visitbusan.net/uploadImgs/files/cntnts/20230603145950229_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20230603145950229_thumbL","유명한 한우전문점으로 국내 외 유명정상들이 방문했던 곳이기도 한 이 곳은숙련된 한우 명장이 꼼꼼하고 정직하게 준비한 수준 높은 한우를 만날 수 있다 .개별 룸이 잘 갖춰져 있어 각종 연�","POINT (129.05666 35.159008)"
"92","원조할매집","부산진구","35.142147","129.06017","원조할매낙지","원조할매낙지","-","부산진구 골드테마길 10","-","-","10:00-21:30","낙곱새(낙지/곱창/새우볶음), 각종 사리","https://www.visitbusan.net/uploadImgs/files/cntnts/20230601152147360_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20230601152147360_thumbL","1968년부터 운영 중인 이곳을 소개하는 것은 딱 한마디면 충분하다.부산의 향토음식인 ‘조방낙지’가 시작된 곳. 더 이상 무슨 설명이 필요 하겠는가","POINT (129.06017 35.142147)"
"94","가야할매밀면","연제구","35.185196","129.07988","가야할매밀면","가야할매밀면","가야할매밀면","부산 연제구 월드컵대로 145번길 32","-","-","11:00a.m. ~ 20:00p.m.","물 밀면, 비빔밀면","https://www.visitbusan.net/uploadImgs/files/cntnts/20191217201857896_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20191217201857896_thumbL","유명한 밀면전문점으로, 밀가루에 옥수수 전분을 섞어, 다른 밀면전문점들보다 더 탄력있는 면이 특징이다. 육수는 돼지뼈와 소뼈에 각종 야채와 여러 한약재를 섞어 만들고, 사이드 메뉴인 �","POINT (129.07988 35.185196)"
"95","국제밀면본점","연제구","35.19689","129.07785","국제밀면본점","국제밀면본점","-","연제구 중앙대로1235번길 23-6","-","-","10:00-21:00","물밀면, 비빔밀면","https://www.visitbusan.net/uploadImgs/files/cntnts/20230605164357186_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20230605164357186_thumbL","밀면전문점 중에서도 특히 맛으로 소문난 이곳은소 사골만을 사용한 육수 등 독창적인 방식의 밀면을 만들고 있다. 보통 기계로 잘려진 편육이 고명으로 올려지는데, 이곳은 손으로 일일이 얇","POINT (129.07785 35.19689)"
"102","가야밀면","중구","35.098934","129.03122","가야밀면","가야밀면","-","중구 광복로 56-14","-","-","10:00-21:00","밀면, 비빔밀면","https://www.visitbusan.net/uploadImgs/files/cntnts/20230605153300303_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20230605153300303_thumbL","깔끔한 맛의 육수가 인상적인 40년 전통의 밀면 전문점으로, 식사시간에는 항상 긴 줄이 늘어서 있지만 140석을 갖춘 넓은 매장으로 인해 웨이팅 시간은 짧은 편. 항상 청결하게 관리되고 있는 �","POINT (129.03122 35.098934)"
"107","김해식당","중구","35.09748","129.02994","김해식당","김해식당","-","중구 자갈치로 51-2","-","-","09:30-21:00","생아구수육, 아구찜","https://www.visitbusan.net/uploadImgs/files/cntnts/20230525160402713_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20230525160402713_thumbL","TV프로그램에도 자주 소개되는 유명한 아귀요리전문점으로1980년부터 생 아귀를 이용한 음식들을 만들고 있다.푸짐하고 신선한 아귀와 아귀 특수부위를 함께 먹을 수 있으며 외국인들도 즐겨 �","POINT (129.02994 35.09748)"
